,t_m_prev,t_out,internal_gains,solar_gains,has_heating_demand,has_cooling_demand,t_air_free,t_air_test,delta_t_air,energy_demand_unrestricted,energy_demand,t_air_final,t_m_final,h_ve_adj,ach_vent,ach_infl,heating_setpoint,cooling_setpoint
2023-02-09 17:00:00,20.581057580757488,5.5,116707.219,0.0,True,False,17.41484216594573,19.875729806537592,2.4608876405918636,138032.6934477364,138032.6934477364,21.0,20.624176017788045,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-09 18:00:00,20.667294454818606,5.2,116707.219,0.0,False,False,17.387457955875018,,,138032.6934477364,0.0,17.387457955875018,20.593476864140555,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-09 19:00:00,20.5196592734625,4.9,116707.219,0.0,False,False,17.1950009124946,,,138032.6934477364,0.0,17.1950009124946,20.443964163621615,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-09 20:00:00,20.36826905378073,4.7,116707.219,0.0,False,False,17.02931092935137,,,138032.6934477364,0.0,17.02931092935137,20.291974948746194,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-09 21:00:00,20.215680843711663,4.6,116707.219,0.0,False,False,16.8921928357882,,,138032.6934477364,0.0,16.8921928357882,20.1400347581676,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-09 22:00:00,20.064388672623544,4.7,116707.219,0.0,False,False,16.814824442646653,,,138032.6934477364,0.0,16.814824442646653,19.99183914093547,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-09 23:00:00,19.919289609247397,4.7,116707.219,0.0,False,False,16.712409840528608,,,138032.6934477364,0.0,16.712409840528608,19.84852806427714,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-10 00:00:00,19.77776651930688,4.7,116707.219,0.0,False,False,16.612519251233753,,,138032.6934477364,0.0,16.612519251233753,19.708748896035292,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-10 01:00:00,19.639731272763704,4.6,116707.219,0.0,False,False,16.485673008738836,,,138032.6934477364,0.0,16.485673008738836,19.57118233973756,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-10 02:00:00,19.50263340671142,4.3,116707.219,0.0,False,False,16.300653469978528,,,138032.6934477364,0.0,16.300653469978528,19.43207710819976,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-10 03:00:00,19.3615208096881,4.0,116707.219,0.0,False,False,16.11280023218913,,,138032.6934477364,0.0,16.11280023218913,19.289006617310406,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-10 04:00:00,19.216492424932717,3.8,116707.219,0.0,False,False,15.951600593625441,,,138032.6934477364,0.0,15.951600593625441,19.143300843496633,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-10 05:00:00,19.070109262060544,4.1,116707.219,0.0,False,False,15.93653202630301,,,138032.6934477364,0.0,15.93653202630301,19.002418247945172,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-10 06:00:00,18.934727233829797,4.6,116707.219,0.0,False,False,15.988063262273009,,,138032.6934477364,0.0,15.988063262273009,18.874865730124643,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-10 07:00:00,18.81500422641949,5.4,116707.219,0.0,False,False,16.13889941744128,,,138032.6934477364,0.0,16.13889941744128,18.766476031717563,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-10 08:00:00,18.717947837015636,6.0,116707.219,1523.1189865685494,True,False,16.24049442239235,18.701382062984212,2.4608876405918636,183246.4300780247,183246.4300780247,21.000000000000004,18.82874040612871,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-10 09:00:00,18.939532975241782,6.6,116707.219,1751.4672500997424,True,False,16.572439374951582,19.033327015543446,2.4608876405918636,170466.1682321139,170466.1682321139,21.0,19.044873689579532,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-10 10:00:00,19.150214403917282,7.3,116707.219,3217.6930139354067,True,False,16.92090024805937,19.381787888651235,2.4608876405918636,157050.02447985252,157050.02447985252,21.000000000000004,19.25242437506509,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-10 11:00:00,19.354634346212894,7.8,116707.219,4960.6875347270025,True,False,17.20494283550265,19.66583047609452,2.4608876405918707,146114.0586971902,146114.0586971902,20.999999999999993,19.453670772213492,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-10 12:00:00,19.552707198214087,8.2,116707.219,6721.663197868398,True,False,17.45501241099707,19.915900051588938,2.460887640591867,136486.0928857682,136486.0928857682,21.0,19.64850039749718,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-10 13:00:00,19.744293596780274,8.4,116707.219,6014.139895520552,True,False,17.652049099434155,20.11293674002602,2.4608876405918636,128899.95412371648,128899.95412371648,21.0,19.833184438330314,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-10 14:00:00,19.92207527988035,8.5,116707.219,5351.27086244069,True,False,17.809736831015822,20.270624471607686,2.4608876405918636,122828.79538500424,122828.79538500424,20.999999999999993,20.004285889838393,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-10 15:00:00,20.086496499796436,8.6,116707.219,2682.402696668732,True,False,17.966429879895912,20.427317520487776,2.4608876405918636,116795.93307249686,116795.93307249686,21.000000000000004,20.159838424617746,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-10 16:00:00,20.233180349439056,8.4,116707.219,1735.7219631153264,True,False,18.01510904928581,20.47599668987767,2.46088764059186,114921.72915269696,114921.72915269696,21.000000000000004,20.29960195503177,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-10 17:00:00,20.366023560624484,8.3,116707.219,0.0,True,False,18.086754621067307,20.54764226165917,2.4608876405918636,112163.29236850103,112163.29236850103,21.0,20.425271243967707,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-10 18:00:00,20.484518927310926,8.2,116707.219,0.0,False,False,18.14097419714975,,,112163.29236850103,0.0,18.14097419714975,20.449921165049176,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-10 19:00:00,20.415323402787422,8.1,116707.219,0.0,False,False,18.062716777880283,,,112163.29236850103,0.0,18.062716777880283,20.380346051631577,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-10 20:00:00,20.345368700475728,8.1,116707.219,0.0,False,False,18.01334097326212,,,112163.29236850103,0.0,18.01334097326212,20.311253367831043,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-10 21:00:00,20.277138035186354,8.0,116707.219,0.0,False,False,17.935764576132037,,,112163.29236850103,0.0,17.935764576132037,20.242631224146322,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-10 22:00:00,20.208124413106294,7.8,116707.219,0.0,False,False,17.828218086619415,,,112163.29236850103,0.0,17.828218086619415,20.172003519256307,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-10 23:00:00,20.135882625406325,7.7,116707.219,0.0,False,False,17.74781053747381,,,112163.29236850103,0.0,17.74781053747381,20.099419680313915,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 00:00:00,20.0629567352215,7.6,116707.219,0.0,False,False,17.666920131429173,,,112163.29236850103,0.0,17.666920131429173,20.02616016875608,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 01:00:00,19.989363602290652,7.5,116707.219,0.0,False,False,17.585558768517135,,,112163.29236850103,0.0,17.585558768517135,19.95224163656709,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 02:00:00,19.91511967084353,7.4,116707.219,0.0,False,False,17.503738055492477,,,112163.29236850103,0.0,17.503738055492477,19.87768032534229,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 03:00:00,19.840240979841052,7.3,116707.219,0.0,False,False,17.421469313060946,,,112163.29236850103,0.0,17.421469313060946,19.802492076402107,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 04:00:00,19.76474317296316,7.3,116707.219,0.0,False,False,17.368181044534083,,,112163.29236850103,0.0,17.368181044534083,19.727924593075457,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 05:00:00,19.691106013187756,7.1,116707.219,0.0,False,False,17.25737114475244,,,112163.29236850103,0.0,17.25737114475244,19.652730324145175,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 06:00:00,19.614354635102593,7.0,116707.219,0.0,False,False,17.173780612241753,,,112163.29236850103,0.0,17.173780612241753,19.575692464354177,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 07:00:00,19.53703029360576,6.9,121897.219,0.0,False,False,17.146273962786076,,,112163.29236850103,0.0,17.146273962786076,19.503281872251137,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 08:00:00,19.469533450896513,7.1,132277.21899999998,1809.7139000173959,False,False,17.262834423447476,,,112163.29236850103,0.0,17.262834423447476,19.451618525391066,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 09:00:00,19.433703599885618,7.6,153037.21899999998,8272.956070953951,False,False,17.583406571112036,,,112163.29236850103,0.0,17.583406571112036,19.450845957963132,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 10:00:00,19.467988316040646,7.9,153037.21899999998,13859.335205025618,False,False,17.672366572321845,,,112163.29236850103,0.0,17.672366572321845,19.495044594310393,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 11:00:00,19.522100872580143,8.1,132277.21899999998,14665.427250594556,False,False,17.540052615324534,,,112163.29236850103,0.0,17.540052615324534,19.53114024237022,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 12:00:00,19.5401796121603,8.5,121897.219,18205.61298366111,False,False,17.54261939131357,,,112163.29236850103,0.0,17.54261939131357,19.547746528128265,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 13:00:00,19.55531344409623,8.8,132277.21899999998,14147.548561233452,False,False,17.771594865742493,,,112163.29236850103,0.0,17.771594865742493,19.571953798366323,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 14:00:00,19.58859415263641,8.5,153037.21899999998,9696.35955925748,False,False,17.951503823908425,,,112163.29236850103,0.0,17.951503823908425,19.616609912422163,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 15:00:00,19.644625672207916,8.1,153037.21899999998,5081.224987996854,False,False,17.892789650842694,,,112163.29236850103,0.0,17.892789650842694,19.661536698765744,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 16:00:00,19.678447725323572,7.5,121897.219,2774.1312364999217,False,False,17.410929184789104,,,112163.29236850103,0.0,17.410929184789104,19.653647365752693,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 17:00:00,19.628847006181815,6.9,116707.219,0.0,False,False,17.154592234017933,,,112163.29236850103,0.0,17.154592234017933,19.58877400042166,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 18:00:00,19.54870099466151,6.3,116707.219,0.0,False,False,16.921518375033813,,,112163.29236850103,0.0,16.921518375033813,19.502222075555128,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 19:00:00,19.455743156448747,5.8,116707.219,0.0,False,False,16.708819065160554,,,112163.29236850103,0.0,16.708819065160554,19.404248450459026,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 20:00:00,19.352753744469304,5.6,116707.219,0.0,False,False,16.57729160069724,,,112163.29236850103,0.0,16.57729160069724,19.3000636231624,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 21:00:00,19.2473735018555,5.3,116707.219,0.0,False,False,16.414659165678334,,,112163.29236850103,0.0,16.414659165678334,19.19228517388113,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 22:00:00,19.137196845906765,5.6,116707.219,0.0,False,False,16.425146070006573,,,112163.29236850103,0.0,16.425146070006573,19.087162929695857,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-11 23:00:00,19.037129013484947,5.6,116707.219,0.0,False,False,16.354515653766537,,,112163.29236850103,0.0,16.354515653766537,18.988328185559297,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-12 00:00:00,18.939527357633644,5.1,116707.219,0.0,False,False,16.13853861952557,,,112163.29236850103,0.0,16.13853861952557,18.885767966379817,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-12 01:00:00,18.83200857512599,4.8,116707.219,0.0,False,False,15.974396748764994,,,112163.29236850103,0.0,15.974396748764994,18.775877329414264,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-12 02:00:00,18.71974608370254,4.5,116707.219,0.0,False,False,15.806906647837588,,,112163.29236850103,0.0,15.806906647837588,18.661301438000763,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-12 03:00:00,18.602856792298983,4.3,116707.219,0.0,False,False,15.66556829564291,,,112163.29236850103,0.0,15.66556829564291,18.54338801288041,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-12 04:00:00,18.483919233461837,4.1,116707.219,0.0,False,False,15.52278422430049,,,112163.29236850103,0.0,15.52278422430049,18.423451560151456,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-12 05:00:00,18.36298388684108,4.0,116707.219,0.0,False,False,15.408007525233797,,,112163.29236850103,0.0,15.408007525233797,18.302774189845778,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-12 06:00:00,18.242564492850477,3.8,116707.219,0.0,False,False,15.264177537025242,,,112163.29236850103,0.0,15.264177537025242,18.18137416191289,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-12 07:00:00,18.1201838309753,3.7,121897.219,0.0,False,False,15.204868992939204,,,112163.29236850103,0.0,15.204868992939204,18.0644624570291,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-12 08:00:00,18.008741083082903,4.9,132277.21899999998,1694.8379630329887,False,False,15.585069001598514,,,112163.29236850103,0.0,15.585069001598514,17.98158071896154,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-12 09:00:00,17.95442035484017,6.5,153037.21899999998,7036.1152317301985,False,False,16.220899895842642,,,112163.29236850103,0.0,16.220899895842642,17.974766404596686,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
