Y,M,W,D
0.7033335400634011,0.6431210355146685,0.679532837299302,0.6947824284167607
0.7027948251329422,0.6450836717128671,0.675439865471885,0.7129529381953884
0.7125218174053722,0.654945436954605,0.678086199350395,0.7114878717375781
0.7202114671396651,0.6711570800027643,0.7013779917532423,0.6938702172260486
0.7148841750495709,0.6753935429017781,0.7009080647762087,0.7001359102531616
0.6681818681192111,0.638573382113038,0.6631793784985373,0.6394784731980373
0.60499465750439,0.5771218438560818,0.6023505563106125,0.5926147750570132
0.550716638639976,0.523702203672718,0.5352136555250974,0.5277740664808459
0.4925053735051201,0.46775115649364113,0.49021492248508436,0.4912395475801064
0.4370859920296699,0.4117975963360773,0.4199101610190965,0.4051784110018198
0.39646541199235213,0.37317898061027677,0.3752247126304392,0.3520305913247794
0.36640341069172466,0.3436552528579894,0.3409255718596668,0.322747690677478
0.34735740498243084,0.3345699979686757,0.321114924788648,0.3280274584782658
0.3350616557660855,0.3245989181627614,0.3205546981179885,0.3059132477943378
0.32862982264332147,0.31633833904686914,0.3115873856856557,0.3078205984658266
0.3246305881352298,0.3120361198774504,0.30804542627444653,0.3070558153463407
0.33446241027176726,0.32591697537909325,0.3248614406486835,0.3296768100251088
0.33843272619665693,0.33719522282789655,0.33189375964617257,0.3521964479049089
0.3896944943057679,0.38543352020120575,0.396824767915966,0.4025523484831033
0.4216536042796668,0.4162145748563937,0.41830872359540205,0.438497155098938
0.4606083534304492,0.44360143323539697,0.458274630853931,0.4755661007578723
0.5591012203571233,0.5070415751349155,0.5455538918707241,0.5490958512819332
0.6502511415929674,0.6000268051038593,0.6173974338301351,0.6155674828960401
0.6922826543431919,0.6345011004751623,0.673001773743982,0.668042661998111
0.7033335400634011,0.6431210355146685,0.679532837299302,0.6697288705627605
0.7027948251329422,0.6450836717128671,0.675439865471885,0.6911704406717191
0.7125218174053722,0.654945436954605,0.678086199350395,0.6855866024740274
0.7202114671396651,0.6711570800027643,0.7013779917532423,0.6994264126603857
0.7148841750495709,0.6753935429017781,0.7009080647762087,0.7093593789592499
0.6681818681192111,0.638573382113038,0.6631793784985373,0.6747045679666445
0.60499465750439,0.5771218438560818,0.6023505563106125,0.609790145354864
0.550716638639976,0.523702203672718,0.5352136555250974,0.521683444288314
0.4925053735051201,0.46775115649364113,0.49021492248508436,0.4634124991361636
0.4370859920296699,0.4117975963360773,0.4199101610190965,0.4063486213171776
0.39646541199235213,0.37317898061027677,0.3752247126304392,0.3630692681578401
0.36640341069172466,0.3436552528579894,0.3409255718596668,0.3269954619796825
0.34735740498243084,0.3345699979686757,0.321114924788648,0.3105940890557692
0.3350616557660855,0.3245989181627614,0.3205546981179885,0.3117458708622238
0.32862982264332147,0.31633833904686914,0.3115873856856557,0.3093962359770565
0.3246305881352298,0.3120361198774504,0.30804542627444653,0.305959319066596
0.33446241027176726,0.32591697537909325,0.3248614406486835,0.3382921379373891
0.33843272619665693,0.33719522282789655,0.33189375964617257,0.3538365851973001
0.3896944943057679,0.38543352020120575,0.396824767915966,0.4044965561723987
0.4216536042796668,0.4162145748563937,0.41830872359540205,0.4285365460367187
0.4606083534304492,0.44360143323539697,0.458274630853931,0.4716961138881849
0.5591012203571233,0.5070415751349155,0.5455538918707241,0.5584391052958929
0.6502511415929674,0.6000268051038593,0.6173974338301351,0.6338669922369906
0.6922826543431919,0.6345011004751623,0.673001773743982,0.6855497454562207
0.7033335400634011,0.6431210355146685,0.679532837299302,0.6679413051991432
0.7027948251329422,0.6450836717128671,0.675439865471885,0.6581189099536984
0.7125218174053722,0.654945436954605,0.678086199350395,0.6680518762525628
0.7202114671396651,0.6711570800027643,0.7013779917532423,0.7278155306258782
0.7148841750495709,0.6753935429017781,0.7009080647762087,0.7214576950542491
0.6681818681192111,0.638573382113038,0.6631793784985373,0.6864250996291263
