"t_set_heating","window_opening_ach","%SIGMA@wn2*.pc.mu%","infl_rate_m3ph_m2","%SIGMA@wn2*.pc1%","%SIGMA@wn2*.pc2%","%SIGMA@wn2*.pc3%"
0.99236481665087,0.289698666442865,368525.147129618,0.644865086407749,8478.06338635705,3470.60001182667,45.4307930299797
0.97502499672565,0.161686862024005,368525.147129618,0.644865086407749,4860.1713550891,2896.288656472,42.2534011981089
0.98726490113389,0.22996256491497,276522.136935738,0.53266453710874,5156.9963957466,2896.288656472,43.5571330388522
0.999093007196616,0.0522684267494998,310006.946751513,0.8786794923964,6420.55041691864,4188.64306632019,45.4430500654913
0.999093007196616,0.302167168301837,289320.79012985,0.803687824745409,9177.67694638222,3415.28232623824,56.4306395278545
0.986515666946068,0.192294595834404,319722.104382283,0.740852506516547,6196.57567152646,3415.28232623824,55.5004953977224
0.979894578936213,0.697230554452063,247298.478717991,0.7588867675212,7831.35915822502,2522.44816417412,61.0013978022009
0.92196658646589,0.182285038294227,265012.192103041,0.721408037338346,6732.09129297568,2444.30145493949,42.3201220103584
0.97961216665557,0.0224286871833313,310613.3848999,0.443979584244568,6120.66258104793,3547.18836865679,51.1709986604906
0.949709552463167,0.0224286871833313,347381.380201608,0.271135493519483,8275.40261714599,2946.18474813478,49.0955958642429
0.986941819040014,0.0224286871833313,239572.821391538,0.232752050973189,6721.11151780382,3458.11263407717,49.0955958642429
0.968314730755352,0.0224286871833313,269649.295208505,0.960434406603028,6241.50452144334,3442.98688238974,66.5107951642024
0.997251310161147,0.0659438998901859,280302.706800029,0.960434406603028,5728.17576897086,3526.44483320007,52.3652853793011
0.991420259802944,0.193195228089007,280252.314898046,0.828721340499344,5774.6322234752,3292.29743758463,49.3280081449965
0.987291205338498,0.0676423811728088,345591.015916982,0.631468582452597,6581.63402763006,3292.29743758463,49.1144058471415
0.984637049888358,0.130643917787547,311041.755149147,0.641054484389693,6142.74631217528,3473.79397977496,41.9817669963007
0.990085728792694,0.0439850007652508,255258.713294509,0.830376125497144,5660.6757219328,3220.50969854101,52.292158358215
0.984745260603565,0.0439850007652508,336421.334976206,0.905677204999758,6031.83303271301,3021.51740920822,52.292158358215
0.998397093751807,0.0439850007652508,330132.716865028,0.905677204999758,6031.83303271301,2764.71654350354,44.542059761905
0.9826385399373,0.151421034468699,368575.033040065,0.795292861380554,6031.83303271301,2791.94264215276,53.4926097977952
